CODE,LMP450H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,10
1657659549,10
1657678570,10
1657700365,10
1657734871,10
1657736010,10
1657737663,10
1657744779,10
1657780708,10
1657815709,10
1657827433,10
1657841414,10
1657851506,10
1657853745,10
1657868013,10
1657911016,10
1657914736,10
1657938194,10
1657991875,10
1658011950,10
1658085371,10
1658086263,10
1658101142,10
1658101460,10
1658117879,10
1658120793,10
1658149259,10
1658163599,10
1658192570,10
1658255570,10
1658255771,10
1658265950,10
1658282790,10
1658284116,10
1658341001,10
1658425295,10
1658438086,10
1658446145,10
1658446771,10
1658459993,10
1658514122,10
1658536177,10
1658552496,10
1658614184,10
1658631640,10
1658698072,10
1658768579,10
1658788810,10
1658856123,10
1658878855,10
1658879061,10
1658965224,10
1659041771,10
1659049567,10
1659055044,10
1659106101,10
1659116089,10
1659126296,10
1659137072,10
1659154611,10
1659160554,10
1659197509,16
1659228141,16
1659229848,16
1659252431,16
1659298084,16
