CODE,WDW151H1-F-20229-LEC-0101,WDW151H1-F-20229-LEC-0201,WDW151H1-F-20229-LEC-0301,WDW151H1-F-20229-LEC-2000
CAP,25,25,25,30
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,0,0,0,0
1657560897,0,0,0,0
1657592482,0,0,0,0
1657598158,0,0,0,0
1657657520,0,0,0,0
1657659549,0,0,0,0
1657678570,0,0,0,0
1657700365,0,0,0,0
1657734871,0,0,0,0
1657736010,0,0,0,0
1657737663,0,0,0,0
1657744779,0,0,0,0
1657780708,0,0,0,0
1657815709,0,0,0,0
1657827433,0,0,0,0
1657841414,0,0,0,0
1657851506,0,0,0,0
1657853745,0,0,0,0
1657868013,0,0,0,0
1657911016,0,0,0,0
1657914736,0,0,0,0
1657938194,0,0,0,0
1657991875,0,0,0,0
1658011950,0,0,0,0
1658085371,0,0,0,0
1658086263,0,0,0,0
1658101142,0,0,0,0
1658101460,0,0,0,0
1658117879,0,0,0,0
1658120793,0,0,0,0
1658149259,0,0,0,0
1658163599,0,0,0,0
1658192570,0,0,0,0
1658255570,0,0,0,0
1658255771,0,0,0,0
1658265950,0,0,0,0
1658282790,0,0,0,0
1658284116,0,0,0,0
1658341001,0,0,0,0
1658425295,1,0,0,0
1658438086,1,0,0,0
1658446145,1,0,0,0
1658446771,1,0,0,0
1658459993,1,0,0,0
1658514122,34,31,32,0
1658536177,34,31,32,0
1658552496,34,31,32,0
1658614184,35,31,32,0
1658631640,35,31,32,0
1658698072,35,31,31,0
1658768579,35,31,31,0
1658788810,35,31,31,0
1658856123,36,31,32,0
1658878855,36,31,32,0
1658879061,36,31,32,0
1658965224,36,30,32,0
1659041771,36,30,32,0
1659049567,36,30,32,0
1659055044,36,30,32,0
