CODE,WRR308H1-S-20229-LEC-0101,WRR308H1-S-20229-LEC-0201
CAP,25,25
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,4,4
1657659562,4,4
1657678580,4,4
1657700377,4,4
1657734892,4,4
1657736031,4,4
1657737680,4,4
1657744796,4,4
1657780717,4,4
1657815723,4,4
1657827444,4,4
1657841424,4,4
1657851524,4,4
1657853756,4,4
1657868023,4,4
1657911025,10,7
1657914749,10,7
1657938204,10,7
1657991885,11,7
1658011963,11,7
1658085387,11,7
1658086283,11,7
1658101152,11,7
1658101473,11,7
1658117893,11,7
1658120808,11,7
1658149282,11,7
1658163609,11,7
1658192584,11,7
1658255580,14,8
1658255781,14,8
1658265969,14,8
1658282799,14,8
1658284132,14,8
1658341011,14,8
1658425310,14,8
1658438101,14,8
1658446157,14,8
1658446785,14,8
1658460004,14,8
1658514131,14,9
1658536189,14,9
1658552506,14,9
1658614194,14,9
1658631652,14,9
1658698082,14,8
1658768591,14,8
1658788819,14,8
1658856132,14,8
1658878866,14,8
1658879072,14,8
1658965232,13,7
1659041782,13,7
1659049575,13,7
1659055055,13,7
1659106110,13,7
1659116097,13,7
1659126308,13,7
1659137081,13,7
1659154622,13,7
1659160562,13,7
1659197518,13,9
1659228149,13,9
1659229856,13,9
1659252439,13,9
1659298092,13,9
